"Rank","Title","Status","Study Results","Conditions","Interventions","Locations","URL"
53,"Epidemiology in Mechanical Ventilation in Argentina.","Recruiting","No Results Available","Respiration, Artificial|Epidemiology",,"Hospital Fiorito, Avellaneda, Argentina|Sanatorio Norte SRL, Avellaneda, Argentina|Hospital Italiano Regional del Sur, Bahía Blanca, Argentina|Hospital privado Dr Raul Matera, Bahía Blanca, Argentina|Hospital Area Programa Bariloche ""Ramón Carrillo"", Bariloche, Argentina|Cemic H.U. Pombo, Buenos Aires, Argentina|CEMIC H.U. Saavedra, Buenos Aires, Argentina|Clinica La Sagrada Familia, Buenos Aires, Argentina|Clinica y Maternidad Suizo Argentina, Buenos Aires, Argentina|Clinica Zabala, Buenos Aires, Argentina|Clínica Adventista Belgrano, Buenos Aires, Argentina|Clínica Bazterrica, Buenos Aires, Argentina|Clínica Pasteleros, Buenos Aires, Argentina|Complejo Medico de la Policia Federal Churruca Visca, Buenos Aires, Argentina|Cínica de los Virreyes, Buenos Aires, Argentina|Hospital Alemán, Buenos Aires, Argentina|Hospital Alvarez, Buenos Aires, Argentina|Hospital de Clínicas José de San Martín, Buenos Aires, Argentina|Hospital de Rehabilitación Respiratoria María Ferrer, Buenos Aires, Argentina|Hospital de Trauma y Emergencia Dr. Federico Abete, Buenos Aires, Argentina|Hospital Dr D. Velez Sarsfield, Buenos Aires, Argentina|Hospital Fernandez, Buenos Aires, Argentina|Hospital Francisco Javier Muñiz, Buenos Aires, Argentina|Hospital Generall de Agudos Dr Cosme Argerich, Buenos Aires, Argentina|Hospital Italiano de Buenos Aires, Buenos Aires, Argentina|Hospital Naval Pedro Mallo, Buenos Aires, Argentina|Hospital Piñero, Buenos Aires, Argentina|Hospital Ramos Mejía, Buenos Aires, Argentina|Hospital Santojanni SRS, Buenos Aires, Argentina|Hospital Santojanni, Buenos Aires, Argentina|Hospital Sirio Libanes, Buenos AIres, Argentina|Hospital Universitario Fundación Favaloro-UTI 1, Buenos Aires, Argentina|Hospital Universitario Fundación Favaloro-UTI 2, Buenos Aires, Argentina|Hospital Universitario UAI, Buenos AIres, Argentina|HZGA Dr alberto Balestrini, Buenos Aires, Argentina|Instituto Argentino de Diagnostico y Tratamiento, Buenos Aires, Argentina|Instituto de Trasplante y Alta Complejidad, Buenos Aires, Argentina|Instituto Lanari, Buenos Aires, Argentina|Instituto Médico de Alta Complejidad, Buenos Aires, Argentina|Sanatorio Anchorena, Buenos Aires, Argentina|Sanatorio Colegiales, Buenos Aires, Argentina|Sanatorio de la Trinidad Mitre, Buenos Aires, Argentina|Sanatorio de la Trinidad Palermo, Buenos Aires, Argentina|Sanatorio de los Arcos, Buenos Aires, Argentina|Sanatorio Finochietto, Buenos Aires, Argentina|Sanatorio Mater Dei, Buenos Aires, Argentina|Sanatorio Otamendi, Buenos Aires, Argentina|Hospital Municipal de Agudos Dr. Pedro Ecay, Carmen de Patagones, Argentina|Htal de alta complejidad cuenca alta SAMIC, Cañuelas, Argentina|Hospital Municipal del Carmen de Chacabuco, Chacabuco, Argentina|Hospital de Chivilcoy, Chivilcoy, Argentina|Policlinico Modelo Cipolletti, Cipolletti, Argentina|Hospital Carrillo de Ciudadela, Ciudadela, Argentina|Clinica del Valle, Comodoro Rivadavia, Argentina|Hospital Regional V Sanguinetti, Comodoro Rivadavia, Argentina|Hospital Zonal Alvear, Comodoro Rivadavia, Argentina|Hospital Justo José de Urquiza, Concepción Del Uruguay, Argentina|Clinica Chutro, Cordoba, Argentina|Clínica Santa Maria, Cordoba, Argentina|Clínica Universitaria Reina Fabiola, Cordoba, Argentina|Hospital Italiano, Cordoba, Argentina|Hospital Misericordia Nuevo Siglo, Cordoba, Argentina|Hospital Privado de Cordoba, Cordoba, Argentina|Hospital San Roque, Cordoba, Argentina|Sanatorio Allende Cerro, Cordoba, Argentina|Sanatorio Allende Nueva Córdoba, Cordoba, Argentina|Sanatorio Privado del Intenterio SRL, Cordoba, Argentina|Hospital Escuela Gral José de San Martín, Corrientes, Argentina|Instituto de Cardiologia Juana Francisca Cabral, Corrientes, Argentina|Hospital Córdoba, Córdoba, Argentina|Hospital Municipal Principe de Asturias, Córdoba, Argentina|Hospital Publico Provincial de la Ciudad de Córdoba, Córdoba, Argentina|Hospital Central de Formosa, Formosa, Argentina|Sanatorio Juan XXIII, General Roca, Argentina|Hospital Simplemente Evita, González Catán, Argentina|Hospital Eva Peron, Granadero Baigorria, Argentina|Hospital Profesor Dr Luis Guemes, Haedo, Argentina|Clínica la pequeña Familia, Junín, Argentina|Clínica Argentina, La Pampa, Argentina|HIEA y C ""San Juan de Dios"", La Plata, Argentina|HIGA San Martín de La Plata, La Plata, Argentina|HIGA San Roque, La Plata, Argentina|Hospital español, La Plata, Argentina|Hospital Italiano de La Plata, La Plata, Argentina|Instituto Médico Platense, La Plata, Argentina|Ipensa, La Plata, Argentina|Sanatorio Adventista del Plata, La Plata, Argentina|HIGA Luisa Cravenna de Gandulfo, Lomas De Zamora, Argentina|Clinica 25 de Mayo, Mar Del Plata, Argentina|HIGA Dr Oscar Alende, Mar Del Plata, Argentina|Clinica Santa Maria, Mendoza, Argentina|Clinica Sociedad Española de Socorros Mutuos de Mendoza, Mendoza, Argentina|Hospital Central, Mendoza, Argentina|Hospital del Carmen, Mendoza, Argentina|Hospital Luis C Lagomaggiore, Mendoza, Argentina|Hospital Santa Isabel de Hungría, Mendoza, Argentina|Hospital Eva Perón, Merlo, Argentina|Clínica Monte Grande, Monte Grande, Argentina|HZGA Mariano y Luciano de la Vega, Moreno, Argentina|Hospital de Morón, Morón, Argentina|Hospital Nacional A. Posadas, Morón, Argentina|Sanatorio Clínica Modelo de Moron, Morón, Argentina|Hospital Municipal Emilio Ferreyra, Necochea, Argentina|Clinica CMIC, Neuquén, Argentina|Clínica Pasteur, Neuquén, Argentina|Clínica San Agustín, Neuquén, Argentina|Clinica Olivos, Olivos, Argentina|Hospital Militar Regional de Parana, Paraná, Argentina|HIGA San Jose de Pergamino, Pergamino, Argentina|Hospital Universitario Austral, Pilar, Argentina|Hospital Municipal de Pinamar, Pinamar, Argentina|Hospital Escuela de Agudos Dr. Ramon Madariaga, Posadas, Argentina|Hospital Público Autogestión SAMIC el Dorado, Posadas, Argentina|Hospital de Autogestión Samic Iguazú, Puerto Iguazu, Argentina|Sanatorio de la Ciudad S.R.L, Puerto Madryn, Argentina|Sanatorio de la Trinidad Quilmes, Quilmes, Argentina|Sanatorio de la Trinidad Ramos Mejía, Ramos Mejía, Argentina|Hospital central Reconquista, Reconquista, Argentina|Hospital Dr. Julio Perrando, Resistencia, Argentina|Hospital Español de Rosario, Rosario, Argentina|Policlinico PAMI 1, Rosario, Argentina|Sanatorio Mapaci, Rosario, Argentina|Sanatorio Parque, Rosario, Argentina|Hospital del Sr. del Milagro, Salta, Argentina|Hospital Papa Francisco, Salta, Argentina|Hospital Publico de Auogestión Dr Arturo Oñativia, Salta, Argentina|HPGD San Bernardo, Salta, Argentina|Instituto Medico de la Comunidad, San Fernando Del Valle De Catamarca, Argentina|HIGA Petrona V. de Cordero de San Fernando, San Fernando, Argentina|Sanatorio de la Trinidad San Isidro, San Isidro, Argentina|Sanatorio Las Lomas, San Isidro, Argentina|Centro de Cuidados Intensivos, San Juan, Argentina|Clinica Santa Clara de la Porvincia de San Juan, San Juan, Argentina|Hospital Dr Guillermo Rawson, San Juan, Argentina|Hospital Público descentralizado Dr. Marcial Vicente Quiroga., San Juan, Argentina|Hospital Italiano de San Justo, San Justo, Argentina|Hospital Madre Catalina, San Luis, Argentina|Hospital San Luis, San Luis, Argentina|Hospital Centro de Salud Zenón Santillán, San Miguel De Tucumán, Argentina|Hospital de clínica Presidente Doctor Nicolas Avellaneda, San Miguel De Tucumán, Argentina|Sanatorio Lavalle, San Salvador De Jujuy, Argentina|Sanatorio Nuestra Sra del Rosario, San Salvador De Jujuy, Argentina|Htal Cullen de Santa Fe, Santa Fe, Argentina|Sanatorio Español, Santa Fe, Argentina|Sanatorio Santa Fe, Santa Fe, Argentina|Sanatorio Santa Fé, Santa Fe, Argentina|Centro Integral de Salud Banda, Santiago Del Estero, Argentina|Hospital regional Dr. Ramon Carrillo, Santiago Del Estero, Argentina|Hospital Ramón Santamarina, Tandil, Argentina|Sanatorio Juncal, Temperley, Argentina|Hospital Regional de Ushuaia, Ushuaia, Argentina|Hospital Nodal Dr. Alejandro Gutierrez, Venado Tuerto, Argentina|Hospital Houssay, Vicente López, Argentina|Hospital Artemides Zatti, Viedma, Argentina","https://ClinicalTrials.gov/show/NCT04107467"
54,"Effect of Treatment With the Ablative Fractional Carbodioxide Laser in Vulvar Lichen Sclerosis","Not yet recruiting","No Results Available","Lichen Sclerosus Et Atrophicus of the Vulva","Device: Active microablative fractional CO2 laser designed as SmartXide Touch C60, CO2 laser system for MonaLisa Touch, DEKA, Florence|Device: Sham microablative fractional CO2 laser designed as SmartXide Touch C60, CO2 laser system for MonaLisa Touch, DEKA, Florence","Inselspital Frauenklinik, Bern, Switzerland","https://ClinicalTrials.gov/show/NCT04107454"
55,"AX-8 Drug Safety, Tolerability and Plasma Levels in Healthy Subjects","Active, not recruiting","No Results Available","Healthy","Drug: AX-8","Medicines Evaluation Unit (MEU) Ltd, Manchester, United Kingdom","https://ClinicalTrials.gov/show/NCT04107441"
56,"Somatostatin in Living Donor Liver Transplantation","Not yet recruiting","No Results Available","End Stage Liver DIsease|Portal Hypertension","Drug: Somatostatin|Drug: Placebo",,"https://ClinicalTrials.gov/show/NCT04107428"
57,"The Effect of Yoga on Respiratory Functions, Symptom Control and Life Quality of Asthma Patients","Completed","No Results Available","Asthma|Yoga","Other: yoga","Atatürk university nursing faculty, Erzurum, Center, Turkey","https://ClinicalTrials.gov/show/NCT04107415"
58,"PLatelets Acetyl-CoA Carboxylase Phosphorylation State in SEPtic Shock","Recruiting","No Results Available","Septic Shock|Platelet Signal Processing Defect|Inflammatory Response|Disseminated Intravascular Coagulation","Other: Platelets Acetyl-CoA Carboxylase phosphorylation analysis","Cliniques Universitaires St Luc, Bruxelles, Belgium","https://ClinicalTrials.gov/show/NCT04107402"
59,"Developing an Evidence Base for the Use of Art Psychotherapy Within a Perinatal Mental Health Service","Not yet recruiting","No Results Available","Perinatal Mental Health","Behavioral: Art Psychotherapy, Art Therapy|Behavioral: Wait List","The Beeches, Royal Derby Hospital Site, Derby, Derbyshire, United Kingdom","https://ClinicalTrials.gov/show/NCT04107389"
60,"Inspection of the Colon Using a Retrograde Viewing Device for Detection of Colorectal Polyps","Recruiting","No Results Available","Adenoma|Polyps","Diagnostic Test: Retroviewing endoscopy","University Hospital Erlangen, Erlangen, Germany","https://ClinicalTrials.gov/show/NCT04107376"
61,"Oropharyngeal Aspiration to Reduce Ventilator-Related Pneumonia","Completed","No Results Available","Ventilator-associated Bacterial Pneumonia","Procedure: Oropharyngeal aspiration before changing the position of the patient|Other: Control group:",,"https://ClinicalTrials.gov/show/NCT04107363"
62,"The Whole Body Vibration Training for Total Knee arthroplasty-the Improvement of the Lower Limb","Completed","No Results Available","Knee Osteoarthritis|Arthroplasty Complications|Swelling; Leg","Device: whole-body vibration","Kaohsiung Medical University Hospital, Kaohsiung, Taiwan","https://ClinicalTrials.gov/show/NCT04107350"
63,"Effect of Vocal Exercises With Straw on Aerodynamic Parameters of Voice (Pressure, Flow) in Dysodic Singers With Nodules","Not yet recruiting","No Results Available","Vocal Fold Nodules","Other: Vocal work session with straw exercises|Other: Vocal work session with open mouth exercises","Gui de Chauliac Hospital, Montpellier, Herault, France","https://ClinicalTrials.gov/show/NCT04107337"
64,"ARAPS Study on Accelerated Liver Regeneration","Not yet recruiting","No Results Available","Liver Regeneration|Liver Cancer|Liver Metastases|Liver Failure","Procedure: ARAPS|Procedure: PVE",,"https://ClinicalTrials.gov/show/NCT04107324"
65,"Prospective Analysis of Intestinal Microbiome and Autoimmune Panels as Predictors of Toxicity in ImmunOncology Patients","Recruiting","No Results Available","Solid Tumor",,"Princess Margaret Cancer Centre, Toronto, Ontario, Canada","https://ClinicalTrials.gov/show/NCT04107311"
66,"Safety and Feasibility of Surmodics SUNDANCE™ Drug Coated Balloon","Not yet recruiting","No Results Available","Peripheral Arterial Disease|Critical Lower Limb Ischemia","Device: SUNDANCE™ Drug Coated Balloon",,"https://ClinicalTrials.gov/show/NCT04107298"
67,"Looking at Brain Changes in People With Lymphoma Receiving CAR-T Therapy","Recruiting","No Results Available","Lymphoma Receiving CAR-T Therapy","Behavioral: neurocognitive evaluations|Diagnostic Test: brain MRIs|Other: Blood samples","Memorial Sloan Kettering Cancer Center, New York, New York, United States","https://ClinicalTrials.gov/show/NCT04107285"
68,"Use of Repetitive Transcranial Magnetic Stimulation in Cancer Patients With Oxaliplatin-Induced Peripheral Neuropathy","Not yet recruiting","No Results Available","Oxaliplatin-induced Peripheral Neuropathy","Device: Real repetitive transcranial magnetic stimulation|Device: Sham repetitive transcranial magnetic stimulation",,"https://ClinicalTrials.gov/show/NCT04107272"
69,"IRAPe, Irisin and IL-34 in Patients With Type 2 Diabetes","Completed","No Results Available","Type2 Diabetes Mellitus","Diagnostic Test: Blood sample","Tanta University, Tanta, El-Gharbia, Egypt","https://ClinicalTrials.gov/show/NCT04107259"
70,"Data Collection of Therapeutic Compliance in Patients Receiving Corneal Graft Using a Collection Box for Corticosteroid Eye Drops","Not yet recruiting","No Results Available","Corneal Graft Disorder (Disorder)|Corticosteroid","Device: use of the KaliJAR box",,"https://ClinicalTrials.gov/show/NCT04107246"
71,"Using Electronic Medical Record Data to Improve HIV Primary Care","Active, not recruiting","No Results Available","Quality of Health Care|HIV/AIDS|Electronic Health Records","Behavioral: Audit and Feedback","St. Michael's Hospital, Toronto, Ontario, Canada","https://ClinicalTrials.gov/show/NCT04107233"
72,"Comparison of BNP and NT-proBNP in the Management of Patients With Chronic and Acute Heart Failure","Active, not recruiting","No Results Available","Heart Failure","Drug: Sacubitril/Valsartan","St. Michael's Hospital, Toronto, Ontario, Canada","https://ClinicalTrials.gov/show/NCT04107220"
73,"Evaluating the Effects of Kombucha as a Hyperglycemic Therapeutic Agent Within Diabetic Human Subjects","Not yet recruiting","No Results Available","Diabetes Mellitus","Dietary Supplement: Ginger Kombucha|Dietary Supplement: Ginger Water","Georgetown University MedStar Hospital, Washington, District of Columbia, United States","https://ClinicalTrials.gov/show/NCT04107207"
74,"Non-invasive Test-guided Tailored Therapy Versus Empiric Treatment for Helicobacter Pylori Infection.","Not yet recruiting","No Results Available","Helicobacter Pylori Infection|Antibiotic Resistant Infection|Antibiotic Resistant Strain","Drug: Pantoprazole 40mg|Drug: Amoxicillin 1000 MG|Drug: Clarithromycin 500mg|Drug: Metronidazole|Drug: Tetracycline 125 MG|Drug: Bismuth Subcitrate|Drug: Rifabutin 150 MG|Drug: Levofloxacin 500mg","Michele Barone, Bari, BA, Italy","https://ClinicalTrials.gov/show/NCT04107194"
75,"Pilot Study for Speculum Free Cervical Cancer Screening","Recruiting","No Results Available","Cervical Cancer","Device: Introducer ""calla"" device|Behavioral: Interviews only","Duke University, Durham, North Carolina, United States","https://ClinicalTrials.gov/show/NCT04107181"
76,"Microbiome Immunotherapy Toxicity and Response Evaluation","Not yet recruiting","No Results Available","Melanoma|Renal Cancer|Lung Cancer","Drug: Nivolumab|Drug: Pembrolizumab|Drug: Ipilimumab|Drug: Durvalumab|Drug: Tremelimumab",,"https://ClinicalTrials.gov/show/NCT04107168"
77,"Study to Evaluate the Effects of a Weight Management Program on Body Weight","Recruiting","No Results Available","Body Weight","Dietary Supplement: Weight Management Formulation|Dietary Supplement: Placebo|Other: Handout with Suggestions for Healthy Eating and Overall Health","Life Extension Clinical Research, Inc., Fort Lauderdale, Florida, United States","https://ClinicalTrials.gov/show/NCT04107155"
78,"Haplo / Allogeneic NKG2DL-targeting Chimeric Antigen Receptor-grafted γδ T Cells for Relapsed or Refractory Solid Tumour","Not yet recruiting","No Results Available","Colorectal Cancer|Triple Negative Breast Cancer|Sarcoma|Nasopharyngeal Carcinoma|Prostate Cancer|Gastric Cancer","Biological: Adoptive Cell Transfer of NKG2DL-targetting Chimeric Antigen Receptor-grafted Gamma Delta T cell","Landmark Medical Centre, Johor Bahru, Johor, Malaysia","https://ClinicalTrials.gov/show/NCT04107142"
79,"Endometrial Biopsy Biomarkers for Prediction of IVF Outcomes","Not yet recruiting","No Results Available","Infertility, Female|Endometriosis","Procedure: Endometrial Biopsy|Other: Euploid embryo transfer","Stanford Fertility and Reproductive Health, Sunnyvale, California, United States","https://ClinicalTrials.gov/show/NCT04107129"
80,"Enhancing Community Capacity to Improve Cancer Care Delivery","Active, not recruiting","No Results Available","End of Life|Cancer","Behavioral: Program participants|Other: Usual Care","Stanford University School of Medicine, Stanford, California, United States","https://ClinicalTrials.gov/show/NCT04107116"
81,"Nivolumab Plus Pemetrexed for Head and Neck Squamous Cell Carcinoma","Not yet recruiting","No Results Available","SCCHN","Drug: Combination Product: Nivolumab with Pemetrexed",,"https://ClinicalTrials.gov/show/NCT04107103"
82,"Role of Lung Ultrasound In Assessment Of Recruitment Maneuvers In Ventilated Preterms With Respiratory Distress Syndrome and Its Correlation With Tracheal IL-6 Level","Completed","No Results Available","Respiratory Distress Syndrome, Newborn","Other: lung recruitment maneuver|Other: tracheal IL-6 level|Other: US guided lung recruitment maneuver","Ain Shams Univeristy, Cairo, Egypt","https://ClinicalTrials.gov/show/NCT04107090"
83,"Phase II Study of the Effects of Laparoscopic Hyperthermic Intraperitoneal Chemotherapy (HIPEC) in Patients With Advanced Gastric Cancer","Not yet recruiting","No Results Available","Gastric Cancer|Peritoneal Carcinomatosis","Drug: Cisplatin|Drug: Mitomycin","University of Chicago, Chicago, Illinois, United States","https://ClinicalTrials.gov/show/NCT04107077"
84,"Achieving Steady Work Among Adults With Autism Through Specialized Employment Program","Recruiting","No Results Available","Autism Spectrum Disorder|Autism","Behavioral: NaW|Behavioral: NaW-DS","Stanford University School of Medicine, Palo Alto, California, United States","https://ClinicalTrials.gov/show/NCT04107064"
85,"Post-Marketing Surveillance Study of Nalmefene Hydrochloride Hydrate in Patients With Alcohol Dependence","Not yet recruiting","No Results Available","Alcohol Dependence","Drug: Nalmefene Hydrochloride Hydrate",,"https://ClinicalTrials.gov/show/NCT04107051"
86,"Monitored Anesthesia Care vs. General Anesthesia for Transcatheter Aortic Valve Replacement","Not yet recruiting","No Results Available","Transcatheter Aortic Valve Replacement","Procedure: General Endotracheal Anesthesia|Procedure: Monitored anesthesia care",,"https://ClinicalTrials.gov/show/NCT04107038"
87,"Effects of a Legal Support Program on Women Experiencing Domestic Violence","Completed","No Results Available","Domestic Violence|Anxiety|Depression|Stress","Other: HELP","Gyansanjeevani, Jaipur, Rajasthan, India|Gyansanjeevani, Dubai, United Arab Emirates","https://ClinicalTrials.gov/show/NCT04107025"
88,"Evaluation of Enamel Demineralization During Clear Aligner Orthodontic Treatment","Completed","No Results Available","White Spot Lesion","Device: Orthodontic treatment with clear aligner",,"https://ClinicalTrials.gov/show/NCT04107012"
89,"Dexmedetomidine and HIPEC","Not yet recruiting","No Results Available","Inflammation|Cancer","Drug: Dexmedetomidine|Drug: Placebos","UBC/Medicine, Faculty of/Anesthesiology, Pharmacology & Therapeutics, Vancouver, British Columbia, Canada","https://ClinicalTrials.gov/show/NCT04106999"
90,"The Effect Of Pulsed Electromagnetic Field And Progressive Resistance Exercise On Knee Osteoarthritis","Recruiting","No Results Available","Knee Osteoarthritis","Combination Product: PEMF and PRE|Other: PRE","Mohammad, Irbid, Jordan","https://ClinicalTrials.gov/show/NCT04106986"
91,"Mesothelioma Early Detection by VOCs","Recruiting","No Results Available","Pleural Mesothelioma|Asbestos Exposure|Pleural Plaque",,"Consultants in Sleep and Pulmonary Medicine, Farmington Hills, Michigan, United States","https://ClinicalTrials.gov/show/NCT04106973"
92,"Quantitative Investigation of Environment and Participation","Not yet recruiting","No Results Available","Supported Accommodation Residents|Schizophrenia, Shizotypal and Delusional Disorders|Mood Affective Disorders|Disorders of Adult Personality and Behavior","Other: No Intevention Used","Edinburgh Health And Social Care Partnership, Edinburgh, United Kingdom","https://ClinicalTrials.gov/show/NCT04106960"
93,"Transition of Care for Patients With Hirschsprung Disease and Anorectal Malformations","Recruiting","No Results Available","Anorectal Malformations|Transition|Quality of Life|Hirschsprung Disease","Other: Questionnaires","Oslo University Hospital, Oslo, Norway","https://ClinicalTrials.gov/show/NCT04106947"
94,"[Trial of device that is not approved or cleared by the U.S. FDA]","Withheld","No Results Available",,,,"https://ClinicalTrials.gov/show/NCT04106934"
95,"Universal Coverage Mode RCT","Completed","No Results Available","Community Health Workers","Other: Universal Health Coverage Mode","Muso, Bamako, Mali","https://ClinicalTrials.gov/show/NCT04106921"
96,"Effectiveness and Tolerability of Eqwilate in Real-life Conditions","Not yet recruiting","No Results Available","VWD - Von Willebrand's Disease","Biological: Eqwilate","Caen Study Site, Caen, France|Clamart Study Site, Clamart, France|Paris Study Site - Lariboisiere, Paris, France|Paris Study Site - Necker, Paris, France|Rennes Study Site, Rennes, France|Rouen Study Site, Rouen, France|Saint Denis Study Site - Pediatrie, Saint-Denis, France|Saint Denis Study Site, Saint-Denis, France|Saint-Etienne Study Site, Saint-Étienne, France","https://ClinicalTrials.gov/show/NCT04106908"
97,"Use of Fibryga, a Fibrinogen Concentrate in Real World: Retrospective Collection of Clinical Data","Recruiting","No Results Available","Bleeding","Drug: Fibryga","Bordeaux Study Site, Bordeaux, France|Le Plessis Robinsin Study Site, Le Plessis-Robinson, France|Marseille Study Site, Marseille, France|Nantes Study Site, Nantes, France|Valence Study Site, Valence, France","https://ClinicalTrials.gov/show/NCT04106895"
98,"Dynamic Connectivity Under Metabolic Constraints","Recruiting","No Results Available","Insulin Resistance|Healthy|Diet Modification|Aging","Drug: Ketones|Drug: Glucose","Martinos Center for Biomedical Research, Building 149, Charlestown, Massachusetts, United States|Bioengineering Building , Stony Brook University, Stony Brook, New York, United States","https://ClinicalTrials.gov/show/NCT04106882"
99,"The Influence of Ventilation on Perioperative Neurocognitive Disorders","Not yet recruiting","No Results Available","Cognitive Dysfunction","Other: Hyper|Other: Hypo",,"https://ClinicalTrials.gov/show/NCT04106869"
100,"Losartan and Hypofractionated Rx After Chemo for Tx of Borderline Resectable or Locally Advanced Unresectable Pancreatic Cancer (SHAPER)","Recruiting","No Results Available","Borderline Resectable Pancreatic Adenocarcinoma|Locally Advanced Pancreatic Ductal Adenocarcinoma|Locally Advanced Unresectable Pancreatic Adenocarcinoma|Stage II Pancreatic Cancer AJCC v8|Stage IIA Pancreatic Cancer AJCC v8|Stage IIB Pancreatic Cancer AJCC v8|Stage III Pancreatic Cancer AJCC v8","Radiation: Hypofractionated Radiation Therapy|Drug: Losartan|Drug: Losartan Potassium|Other: Quality-of-Life Assessment|Other: Questionnaire Administration","Huntsman Cancer Institute/University of Utah, Salt Lake City, Utah, United States","https://ClinicalTrials.gov/show/NCT04106856"
